0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:10:34 +0800] "GET / HTTP/1.1" 200 11230
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:10:40 +0800] "GET /javaMavenWeb HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:10:40 +0800] "GET /javaMavenWeb/ HTTP/1.1" 200 52
127.0.0.1 - - [25/Apr/2023:12:10:50 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 13
127.0.0.1 - - [25/Apr/2023:12:10:54 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 27
127.0.0.1 - - [25/Apr/2023:12:10:57 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 55
127.0.0.1 - - [25/Apr/2023:12:10:57 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 46
127.0.0.1 - - [25/Apr/2023:12:10:58 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 57
127.0.0.1 - - [25/Apr/2023:12:10:58 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 56
127.0.0.1 - - [25/Apr/2023:12:10:58 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 57
127.0.0.1 - - [25/Apr/2023:12:10:58 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 56
127.0.0.1 - - [25/Apr/2023:12:10:58 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 46
127.0.0.1 - - [25/Apr/2023:12:10:58 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 56
127.0.0.1 - - [25/Apr/2023:12:10:59 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 57
127.0.0.1 - - [25/Apr/2023:12:10:59 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 57
127.0.0.1 - - [25/Apr/2023:12:10:59 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 57
127.0.0.1 - - [25/Apr/2023:12:10:59 +0800] "POST /javaMavenWeb/api/runPSO HTTP/1.1" 200 57
